ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,PAYMENT DATE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,DATE ISSUED,LICENSE STATUS,LATITUDE,LONGITUDE,LOCATION
270755,1,QVAC INC.,BALTIMORE FOOD & LIQUOR,13322-13324 S BALTIMORE AVE,IL,60633,10,17,4,1474,Package Goods,1446832,ISSUE,3/26/2004,5/11/2004,11/15/2004,5/11/2004,AAI,41.65296461,-87.54729865,"(41.652964611693584, -87.547298652826)"
6027,1,J K LEE & H S LEE,PARKWEST FOODS & LIQUORS,2733 N HALSTED ST,IL,60614,43,6,19,1474,Package Goods,12206,RENEW,5/10/2005,5/16/2005,5/15/2006,5/11/2005,AAI,41.93248645,-87.64885646,"(41.932486453076955, -87.64885645715542)"
63116,1,MAYO FOOD & LIQUOR INC.,MAYO FOOD & LIQUOR,600 N CICERO AVE  1,IL,60644,37,8,15,1474,Package Goods,15028,RENEW,4/23/2019,5/16/2019,7/15/2021,5/3/2019,AAI,41.89142316,-87.74582768,"(41.89142315631106, -87.74582767466832)"
7012,1,RUDY'S FOOD & LIQUORS INC.,RUDY'S FOOD & LIQUOR,1558 W 69TH ST 1ST,IL,60636,17,1,7,1474,Package Goods,17086,RENEW,6/22/2023,6/16/2023,6/15/2025,7/13/2023,AAI,41.7686623,-87.66384165,"(41.76866229598703, -87.66384165371463)"
6881,1,8258 HALSTED FOOD & LIQUORS INC,8258 HALSTED FOOD & LIQUORS,8258 S HALSTED ST,IL,60620,17,34,6,1474,Package Goods,16546,RENEW,8/13/2007,8/16/2006,8/15/2007,8/21/2006,AAI,41.74344752,-87.64397976,"(41.74344751457781, -87.64397976337602)"
7038,1,RACINE FOOD & LIQUOR INC,RACINE FOOD & LIQUOR INC,1148 W 69TH ST 1ST,IL,60621,16,45,7,1474,Package Goods,17216,RENEW,11/8/2006,11/16/2006,11/15/2007,11/8/2006,AAI,41.76881153,-87.65373387,"(41.76881153418463, -87.65373386660372)"
259080,1,P & S LIQUOR AND BEER INC.,CONVENIENT FOOD & LIQUOR,7319-7321 W IRVING PARK RD,IL,60634,38,21,16,1474,Package Goods,1596544,RENEW,10/2/2023,10/16/2023,10/15/2025,10/3/2023,AAI,41.95257226,-87.81079957,"(41.95257226287668, -87.81079957315421)"
253598,1,"JAGAT AMBAY, INC.",EAST GATE LIQUORS,446 W DIVERSEY PKWY,IL,60614,44,8,19,1474,Package Goods,1277808,RENEW,2/22/2019,4/16/2019,7/15/2021,3/8/2019,AAI,41.93298378,-87.64117049,"(41.93298377578833, -87.64117048527066)"
26054,1,CERVANTES GROCERY STORE INC.,YOYO'S LIQUORS,2155 W CERMAK RD  1ST,IL,60608,25,20,10,1474,Package Goods,9244,RENEW,2/23/2004,2/16/2004,2/15/2005,2/26/2004,AAI,41.85199262,-87.68046604,"(41.851992623696106, -87.68046604097155)"
3558,1,932 ADDISION LIQUORS INC.,ADDISON LIQUORS,932 W ADDISON ST 1ST,IL,60613,44,28,19,1474,Package Goods,6115,RENEW,5/15/2003,5/16/2003,11/15/2003,6/3/2003,AAI,41.94737412,-87.65318059,"(41.947374118622164, -87.6531805895359)"
62797,1,GOLD MEDAL LIQUOR INC,GOLD MEDAL LIQUORS,3823 N BROADWAY  1ST,IL,60613,46,5,19,1474,Package Goods,7023,RENEW,6/2/2014,6/16/2014,6/15/2016,6/10/2014,AAI,41.95191698,-87.64948079,"(41.95191698053526, -87.64948079260617)"
6188,1,WRIGHTWOOD FOOD & LIQUOR INC.,WRIGHTWOOD FOOD & LIQUOR,1324 W WRIGHTWOOD AVE,IL,60614,32,39,19,1474,Package Goods,28276,RENEW,4/10/2009,4/16/2009,4/15/2011,4/13/2009,AAI,41.92898022,-87.66209151,"(41.92898022186883, -87.66209150792767)"
6802,1,"S. A. A. ENTERPRISES, INC.",S. A. A. FOOD & LIQUORS,2561 E 75TH ST  1,IL,60649,7,28,4,1474,Package Goods,15991,RENEW,11/10/2003,11/16/2003,2/15/2004,12/5/2003,AAI,41.75893992,-87.56164542,"(41.758939922801, -87.56164541788654)"
62535,1,"BANNER LIQUOR & TAP, INC.","BANNER LIQUOR & TAP, INC.",10556 -10558 S EWING AVE  1ST,IL,60617,10,33,4,1474,Package Goods,1720,RENEW,5/15/2002,5/16/2002,11/15/2002,5/15/2002,AAI,41.70288197,-87.53543043,"(41.70288196597781, -87.53543042630147)"
401529,1,JAYAMBE PAVAN INC,WINNEMAC FOOD & LIQUOR,5029 N WESTERN AVE 1,IL,60625,40,11,20,1474,Package Goods,2428348,RENEW,2/5/2024,2/16/2024,2/15/2026,2/6/2024,AAI,41.97312442,-87.68890976,"(41.973124414967394, -87.68890975855848)"
50381,1,RICHARD JOON KIM,LINCOLN LIQUORS,5216 N LINCOLN AVE 1ST,IL,60625,40,14,20,1474,Package Goods,3427,RENEW,4/30/2002,5/16/2002,11/15/2002,5/1/2002,AAI,41.97641199,-87.6925144,"(41.97641198621266, -87.69251439734876)"
62676,1,"CRESPO FOOD & LIQUORS, LLC",CRESPO FOOD & LIQUOR,2157 W NORTH AVE 1ST #,IL,60647,1,2,14,1474,Package Goods,4209,RENEW,5/13/2003,5/16/2003,11/15/2003,5/14/2003,AAI,41.91028619,-87.68215129,"(41.910286186860006, -87.68215128990266)"
2941,1,ROSELAND FOODS & LIQUOR INC,ROSELAND FOOD & LIQUOR INC,3407 W MADISON ST,IL,60624,28,22,11,1474,Package Goods,3571,RENEW,11/13/2003,11/16/2003,8/15/2004,11/18/2003,AAI,41.88080462,-87.7113755,"(41.8808046152, -87.71137549591673)"
209419,1,"N.W. FOOD & LIQUOR, INC.",NORTHWEST FOOD & LIQUOR,5170 - 5174 W NORTH AVE,IL,60639,37,22,25,1474,Package Goods,1119637,RENEW,7/20/2017,1/16/2017,1/15/2019,7/21/2017,AAI,41.9096149,-87.75547797,"(41.90961489519426, -87.75547796793691)"
8084,1,SOLID GOLD FOOD & LIQUOR INC,SOLID GOLD FOOD & LIQUOR,3821-3823 W ROOSEVELT RD,IL,60624,24,28,10,1474,Package Goods,24261,RENEW,4/29/2002,5/16/2002,11/15/2002,4/30/2002,AAI,41.86611949,-87.72092757,"(41.86611949397407, -87.72092757399619)"
38589,1,THE ROSHAN MART CORPORATION,BUCKTOWN FOOD & LIQUORS,2422 W FULLERTON AVE  1,IL,60647,1,24,14,1474,Package Goods,53086,RENEW,10/21/2009,11/16/2009,11/15/2011,10/23/2009,AAI,41.92500252,-87.68857101,"(41.92500252184777, -87.68857100666655)"
32337,2,"J K & S FOOD & LIQUOR, INC.",J K & S FOOD & LIQUOR,503 W 59TH ST,IL,60621,20,55,7,1474,Package Goods,1000981,RENEW,10/18/2006,11/16/2006,11/15/2007,11/3/2006,AAI,41.78703908,-87.63781273,"(41.7870390747415, -87.63781272819968)"
197,1,"ONE ELEVEN FOOD & LIQUORS, INC.",ONE ELEVEN FOOD & LIQUOR INC,111 N KEDZIE AVE,IL,60612,27,26,12,1474,Package Goods,1054,RENEW,11/14/2005,11/16/2005,11/15/2006,11/17/2005,AAI,41.88323494,-87.7060367,"(41.883234943229546, -87.70603670011992)"
284410,1,"Manhattan Food & Liquor, Inc.",Manhattan Food & Liquor,4200 N BROADWAY,IL,60613,46,25,19,1474,Package Goods,1545937,ISSUE,4/25/2005,6/15/2005,8/15/2005,6/15/2005,AAI,41.95848356,-87.65321449,"(41.95848356330247, -87.65321448916944)"
154,1,"LUCIANO AND HECTOR FOOD AND LIQUOR, INC.",JOE'S FOOD & LIQUOR,3622-3626 W LAWRENCE AVE 1ST,IL,60625,33,29,17,1474,Package Goods,824,RENEW,9/10/2019,9/16/2019,9/15/2021,9/10/2019,AAI,41.9684468,-87.71924753,"(41.96844679811866, -87.71924752716912)"
6901,1,"V & V LIQUORS, INC.",MIDWAY FOOD AND LIQUORS,5500 S STATE ST 1ST,IL,60621,20,16,2,1474,Package Goods,16630,RENEW,4/22/2002,5/16/2002,11/15/2002,4/24/2002,AAI,41.79422529,-87.62583602,"(41.79422529103963, -87.62583601558326)"
16717,1,"KHALIL'S FOOD & LIQUOR, INC.",KHALIL'S FOOD & LIQUOR,146 W 103RD ST 1ST,IL,60628,9,17,5,1474,Package Goods,46848,RENEW,8/7/2021,9/16/2021,9/15/2023,8/10/2021,AAI,41.70721814,-87.62775156,"(41.70721813900086, -87.62775155827897)"
62500,1,LAYTON C ALCORN,ALCORN LIQUOR LOUNGE,1659 S PULASKI RD 1ST,IL,60623,24,15,10,1474,Package Goods,1618108,RENEW,9/15/2008,8/16/2008,8/15/2010,1/6/2009,AAI,41.85713519,-87.7247587,"(41.857135190736415, -87.72475869695809)"
16659,1,CRATER FOOD & LIQUOR INC,CRATER FOOD & LIQUOR,1144 N MILWAUKEE AVE,IL,60642,1,2,12,1474,Package Goods,46478,RENEW,11/10/2005,11/16/2005,11/15/2006,11/14/2005,AAI,41.90242867,-87.66525449,"(41.90242867361201, -87.66525448664798)"
63328,2,"XTRA VALUE MART, INC.",ROTHSCHILD LIQUORS,118 S CICERO AVE 1ST,IL,60644,28,12,15,1474,Package Goods,21267,RENEW,10/31/2003,11/16/2003,8/15/2004,11/6/2003,AAI,41.87882224,-87.74536282,"(41.87882224189981, -87.74536281507694)"
85483,3,AHMAD KESHTA,ADAM'S FOOD/LIQUOR,215-219 S WESTERN AVE,IL,60612,27,17,12,1474,Package Goods,8023,RENEW,11/7/2003,11/16/2003,11/15/2004,2/13/2004,AAI,41.87810281,-87.68620577,"(41.878102805968325, -87.686205767174)"
85156,1,J & L LIQUORS INC.,FOREMOST LIQUORS,6013 -6015 N LINCOLN AVE  FIRST,IL,60659,50,23,24,1474,Package Goods,84718,RENEW,5/13/2002,5/16/2002,11/15/2002,6/20/2002,AAI,41.99071003,-87.70768024,"(41.990710028997746, -87.70768023858348)"
89238,1,"LINA FOOD & LIQUOR, INC","LINA FOOD & LIQUOR, INC",2228 S ARCHER AVE  1,IL,60616,11,18,9,1474,Package Goods,24384,RENEW,6/14/2012,6/16/2012,6/15/2014,6/15/2012,AAI,41.85242413,-87.63599569,"(41.85242412467653, -87.63599569065158)"
301213,1,"NEIGHBORHOOD FOOD & LIQUOR, INC.",NEIGHBORHOOD FOOD & LIQUOR,1122 W 63RD ST,IL,60621,16,34,7,1474,Package Goods,1679764,RENEW,11/16/2006,11/16/2006,11/15/2007,11/17/2006,AAI,41.77974248,-87.65306068,"(41.7797424789354, -87.65306067555657)"
379164,1,PRIME TIME FOOD & LIQUORS 79TH LLC,PRIME TIME FOOD & LIQUORS 79TH,1650 E 79TH ST,IL,60649,8,13,4,1474,Package Goods,2240086,RENEW,12/15/2017,1/16/2018,1/15/2020,1/4/2018,AAI,41.75161868,-87.5837251,"(41.75161868179661, -87.58372509914342)"
15660,1,"BROTHERS FOOD & LIQUOR, INC.",BROTHERS FOOD & LIQUOR,1156 W 63RD ST  1ST,IL,60621,16,34,7,1474,Package Goods,38637,RENEW,5/7/2002,5/16/2002,11/15/2002,5/8/2002,AAI,41.77971938,-87.65435877,"(41.77971938435299, -87.65435877379359)"
3689,1,K & K LIQUORS INC,K & K LIQUORS INC,5973 W MADISON ST,IL,60644,29,19,15,1474,Package Goods,6852,RENEW,4/7/2004,5/16/2004,5/15/2005,4/22/2004,AAI,41.87997807,-87.77458167,"(41.879978065342975, -87.77458167013508)"
50381,1,RICHARD JOON KIM,LINCOLN LIQUORS,5216 N LINCOLN AVE 1ST,IL,60625,40,14,20,1474,Package Goods,3427,RENEW,9/11/2019,9/16/2019,9/15/2021,9/11/2019,AAI,41.97641199,-87.6925144,"(41.97641198621266, -87.69251439734876)"
9995,1,QUICK CHECK INC,T & K FOOD LIQUOR,20 W 51ST ST,IL,60609,3,8,2,1474,Package Goods,15084,RENEW,5/8/2002,5/16/2002,11/15/2002,5/10/2002,AAI,41.80204322,-87.62682657,"(41.802043217192605, -87.62682656706018)"
32576,1,"BUDDIES FOOD & LIQUORS, INC.","BUDDIES FOOD & LIQUORS, INC.",1758 E 79TH ST  1,IL,60649,8,22,4,1474,Package Goods,1845634,ISSUE,12/4/2007,6/7/2010,12/15/2012,6/7/2010,AAI,41.75165317,-87.58099096,"(41.75165317044228, -87.58099095623987)"
264251,1,"KING FOOD & LIQUOR, INC.",KING FOOD & LIQUOR,6759 S WESTERN AVE 1,IL,60636,16,8,8,1474,Package Goods,1357910,RENEW,4/30/2021,6/16/2021,6/15/2023,5/3/2021,AAI,41.77024338,-87.68324824,"(41.77024337509446, -87.68324823699402)"
11140,1,BRISTOL LIQUORS INC,BRISTOL LIQUORS INC,5201-5207 W BELMONT AVE 1ST,IL,60641,30,9,25,1474,Package Goods,26823,RENEW,4/30/2002,5/16/2002,11/15/2002,5/1/2002,AAI,41.93858919,-87.75681005,"(41.93858918622007, -87.75681004516909)"
25567,1,AMADOR INC.,AMADOR LIQUORS,1167 W 18TH ST 1ST,IL,60608,25,17,12,1474,Package Goods,7080,RENEW,12/13/2013,12/16/2013,12/15/2015,12/17/2013,AAI,41.8578535,-87.65584444,"(41.85785350216738, -87.65584443961771)"
17222,1,"D&O FOOD & LIQUOR, INC.",D & O FOOD & LIQUOR,8700 S COMMERCIAL AVE,IL,60617,10,43,4,1474,Package Goods,49803,RENEW,7/12/2016,7/16/2016,7/15/2018,7/13/2016,AAI,41.73728557,-87.55157514,"(41.73728557188973, -87.55157514432739)"
8845,1,"THE REIS CORPORATION, INC.",PEPE'S # 2 FOOD & LIQUOR,2333 N WESTERN AVE,IL,60647,32,16,14,1474,Package Goods,46864,RENEW,4/30/2003,5/16/2003,11/15/2003,6/27/2003,AAI,41.92430014,-87.68747716,"(41.92430014039961, -87.68747716216569)"
16723,2,"TYROS LIQUORS, INC.",Fischman Liquors,4780 N MILWAUKEE AVE,IL,60630,45,29,16,1474,Package Goods,1118733,RENEW,2/14/2007,2/16/2007,12/15/2007,2/14/2007,AAI,41.96751339,-87.76060684,"(41.96751338644638, -87.76060683469191)"
16037,1,"ALBANY FOOD & LIQUORS, INC.",ALBANY FOOD & LIQUORS,3048 W FULLERTON AVE 1ST,IL,60647,35,30,14,1474,Package Goods,40898,RENEW,11/13/2015,11/16/2015,11/15/2017,11/13/2015,AAI,41.92485454,-87.70416754,"(41.92485453942065, -87.7041675433878)"
325934,1,"HD LIQUORS, INC.",PRESTIGE LIQUORS,7104 S WESTERN AVE 1,IL,60636,17,5,8,1474,Package Goods,1883996,RENEW,6/14/2013,6/16/2013,6/15/2015,6/17/2013,AAI,41.7644956,-87.68338427,"(41.76449559670579, -87.68338426748386)"
410112,1,63RD FOOD & LIQUOR INC.,63RD FOOD & LIQUOR,1813 W 63RD ST 1,IL,60636,15,40,7,1474,Package Goods,2492199,RENEW,2/13/2019,3/16/2019,7/15/2021,2/14/2019,AAI,41.77926508,-87.66967833,"(41.779265079527086, -87.66967833181279)"
30809,1,TOMARAS & TOMARAS LIMITED,ARCHER LIQUORS,5996 S ARCHER AVE  1,IL,60638,23,45,8,1474,Package Goods,27601,RENEW,12/25/2019,1/16/2020,1/15/2022,12/26/2019,AAI,41.79522214,-87.76631287,"(41.7952221413764, -87.76631286819415)"
4500,1,PEERLESS TRADING CORP,PRESTIGE LIQUORS,5933-5935 W LAWRENCE AVE,IL,60630,45,45,16,1474,Package Goods,9805,RENEW,12/5/2011,12/16/2011,12/15/2013,12/5/2011,AAI,41.96755892,-87.77608297,"(41.96755892091478, -87.77608297023237)"
7690,1,K - LEEN CORPORATION,PRESTIGE LIQUORS,3210 W MONTROSE AVE,IL,60618,33,3,17,1474,Package Goods,19001,RENEW,11/21/2012,12/16/2012,12/15/2014,11/21/2012,AAI,41.96129289,-87.70873608,"(41.96129288575419, -87.70873607582163)"
289495,1,"BINUSOFT, INC.",LOGAN LIQUOR,2639 N KEDZIE AVE,IL,60647,35,7,14,1474,Package Goods,1591903,RENEW,10/5/2017,11/16/2017,11/15/2019,10/6/2017,AAI,41.92958536,-87.70722345,"(41.929585357019434, -87.70722344947929)"
7323,1,95TH FOOD & LIQUOR INC,LASALLE FOOD & LIQUOR,124 W 95TH ST,IL,60628,9,55,6,1474,Package Goods,18008,RENEW,8/31/2011,9/16/2011,9/15/2013,9/1/2011,AAI,41.72178629,-87.62739191,"(41.72178628789281, -87.6273919100881)"
6532,1,ROBERTO ENRIQUEZ,ENRIQUEZ LIQUORS,2459 S DRAKE AVE,IL,60623,22,18,10,1474,Package Goods,14659,RENEW,8/8/2005,8/16/2005,8/15/2006,8/18/2005,AAI,41.84632096,-87.71347576,"(41.84632096002433, -87.71347575775495)"
16037,1,"ALBANY FOOD & LIQUORS, INC.",ALBANY FOOD & LIQUORS,3048 W FULLERTON AVE 1ST,IL,60647,35,30,14,1474,Package Goods,40898,RENEW,11/9/2006,11/16/2006,11/15/2007,11/14/2006,AAI,41.92485454,-87.70416754,"(41.92485453942065, -87.7041675433878)"
3758,1,VERMAR ENTERPRISES INC,CUPBOARD FOOD & LIQUOR,3260 W 55TH ST,IL,60632,14,34,8,1474,Package Goods,7112,RENEW,7/31/2007,8/16/2007,6/15/2009,8/1/2007,AAI,41.79358918,-87.70594578,"(41.79358917945885, -87.70594578345793)"
344340,1,"DYNAMIC FOOD & LIQUOR, INC.",DYNAMIC FOOD & LIQUOR,301 S PULASKI RD 1,IL,60624,28,37,11,1474,Package Goods,1975941,RENEW,7/30/2016,8/16/2016,8/15/2018,8/1/2016,AAI,41.87704459,-87.7253977,"(41.87704458522404, -87.72539769930205)"
11998,1,ABH FOOD & LIQUOR INC.,ABH FOOD & LIQUOR INC,5345 W NORTH AVE 1,IL,60639,37,6,25,1474,Package Goods,30044,RENEW,12/23/2022,1/16/2023,1/15/2025,12/27/2022,AAI,41.90933897,-87.75979487,"(41.90933896530053, -87.75979486719923)"
351029,1,1344 EAST 67TH STREET CORP.,MIDWAY FOOD & LIQUORS NO. 2,1344 E 67TH ST 1,IL,60637,20,13,3,1474,Package Goods,2021288,ISSUE,6/8/2010,6/30/2011,7/15/2013,6/30/2011,AAI,41.77338069,-87.59256121,"(41.7733806908747, -87.59256120697202)"
351,1,ARCADIA FOOD & LIQUOR INC.,ARCADIA FOOD & LIQUOR INC.,3201 W BRYN MAWR AVE 1ST,IL,60659,39,49,17,1474,Package Goods,1798,RENEW,11/14/2003,11/16/2003,2/15/2004,11/17/2003,AAI,41.98295697,-87.70893337,"(41.982956973821615, -87.70893337023193)"
86496,3,423 LARAMIE INC,BELMONTE LIQUORS,423 N LARAMIE AVE 1ST #,IL,60644,37,65,15,1474,Package Goods,7048,RENEW,9/24/2009,11/16/2009,11/15/2011,9/25/2009,AAI,41.88849311,-87.7552162,"(41.88849311049015, -87.75521619640824)"
15328,1,"GROVE LIQUORS, INC.",GROVE LIQUORS,6656 S COTTAGE GROVE AVE,IL,60637,20,18,3,1474,Package Goods,36992,RENEW,7/12/2021,7/16/2021,7/15/2023,7/13/2021,AAI,41.77328619,-87.6059191,"(41.77328619005114, -87.60591910261032)"
205,1,"ONE STOP FOOD & LIQUOR STORE, INC.",ONE STOP FOOD & LIQUOR STORE,4301-4323 S LAKE PARK AVE,IL,60653,4,5,2,1474,Package Goods,1096,RENEW,5/13/2003,5/16/2003,11/15/2003,5/16/2003,AAI,41.81686515,-87.59868884,"(41.816865148052045, -87.59868884416672)"
245492,1,SHIVANI V CORPORATION,PARKWEST LIQUORS AND SMOKE SHOP,2581 N LINCOLN AVE,IL,60614,43,39,19,1474,Package Goods,1243070,RENEW,4/8/2015,4/16/2015,4/15/2017,4/9/2015,AAC,41.92899504,-87.65350848,"(41.928995042113925, -87.6535084773172)"
3758,1,VERMAR ENTERPRISES INC,CUPBOARD FOOD & LIQUOR,3260 W 55TH ST,IL,60632,14,34,8,1474,Package Goods,7112,RENEW,11/5/2003,11/16/2003,8/15/2004,11/6/2003,AAI,41.79358918,-87.70594578,"(41.79358917945885, -87.70594578345793)"
7944,1,MALKIEH INC,SOUTH SHORE FOOD & LIQUORS,2400 E 75TH ST,IL,60649,7,48,3,1474,Package Goods,19479,RENEW,12/16/2020,12/16/2020,12/15/2022,12/16/2020,AAI,41.7590983,-87.56631499,"(41.75909829728623, -87.56631498603433)"
401294,1,N AND A LIQUOR INC.,PRESTIGE LIQUORS,2008 W 63RD ST 1,IL,60636,16,5,7,1474,Package Goods,2427794,RENEW,11/18/2019,12/16/2019,12/15/2021,11/20/2019,AAI,41.77942004,-87.67433255,"(41.779420042281316, -87.67433254640225)"
3558,1,932 ADDISION LIQUORS INC.,ADDISON LIQUORS,932 W ADDISON ST 1ST,IL,60613,44,28,19,1474,Package Goods,6115,RENEW,6/10/2020,6/16/2020,6/15/2022,6/11/2020,AAI,41.94737412,-87.65318059,"(41.947374118622164, -87.6531805895359)"
38589,1,THE ROSHAN MART CORPORATION,BUCKTOWN FOOD & LIQUORS,2422 W FULLERTON AVE  1,IL,60647,1,24,14,1474,Package Goods,53086,RENEW,10/3/2011,11/16/2011,11/15/2013,10/4/2011,AAI,41.92500252,-87.68857101,"(41.92500252184777, -87.68857100666655)"
11217,1,J & A LIQUOR INC.,J & A LIQUORS INC,3213 W LAWRENCE AVE,IL,60625,33,26,17,1474,Package Goods,26991,RENEW,11/19/2004,11/16/2004,11/15/2005,2/17/2005,AAI,41.96833424,-87.70903912,"(41.96833424139983, -87.7090391214341)"
216984,1,"M & M DISCOUNT, INC.",M & M FOOD & LIQUORS,1607 W 59TH ST,IL,60636,16,2,7,1474,Package Goods,1166713,RENEW,10/10/2003,11/16/2003,8/15/2004,10/14/2003,AAI,41.78663169,-87.66470235,"(41.78663168467939, -87.6647023515688)"
294380,1,"RRR RAIDAN LIQUORS, INC.",KONRAD'S LIQUORS,6720-6724 W BELMONT AVE 1,IL,60634,38,7,16,1474,Package Goods,1619088,RENEW,11/2/2006,11/16/2006,11/15/2007,11/2/2006,AAI,41.93829326,-87.79416311,"(41.9382932554215, -87.79416311289708)"
63136,1,FAISAL KANDAH,FRANKS FOOD & LIQUOR,2501 S PULASKI RD  1,IL,60623,22,4,10,1474,Package Goods,15510,RENEW,8/12/2016,8/16/2016,8/15/2018,8/15/2016,AAI,41.84603982,-87.72446778,"(41.84603982269178, -87.72446778165362)"
431561,1,AAARTI INC.,CICERO & NORTH FOOD & LIQUOR,1636 N CICERO AVE 1,IL,60639,37,22,25,1474,Package Goods,2626738,RENEW,4/1/2021,4/16/2021,4/15/2023,4/2/2021,AAI,41.91076133,-87.74605302,"(41.910761333547555, -87.74605302179016)"
7690,1,K - LEEN CORPORATION,PRESTIGE LIQUORS,3210 W MONTROSE AVE,IL,60618,33,3,17,1474,Package Goods,19001,RENEW,4/24/2002,5/16/2002,11/15/2002,5/2/2002,AAI,41.96129289,-87.70873608,"(41.96129288575419, -87.70873607582163)"
18784,1,"LAKE AND CICERO , INC.",ICE HOUSE LIQUORS,356 N CICERO AVE 1,IL,60644,28,27,15,1474,Package Goods,56693,RENEW,3/27/2015,5/16/2015,5/15/2017,4/2/2015,AAI,41.88685126,-87.74565352,"(41.88685126291917, -87.74565351960071)"
6532,1,ROBERTO ENRIQUEZ,ENRIQUEZ LIQUORS,2459 S DRAKE AVE,IL,60623,22,18,10,1474,Package Goods,14659,RENEW,5/3/2002,5/16/2002,11/15/2002,5/6/2002,AAI,41.84632096,-87.71347576,"(41.84632096002433, -87.71347575775495)"
